n_instances,n_features,n_num_features,n_cat_features,missing_values_pct,class_entropy,n_classes,mean_skewness,mean_kurtosis,avg_correlation,max_correlation,mean_corr_with_target,max_corr_with_target,mean_mutual_info,max_mutual_info,pca_fraction_95,feature_to_instance_ratio,task_type,best_model
148254,16,16,4,3.656640133598113,1.584962500721156,3,0.6235019718665397,12.678520911825965,0.0171915941889688,0.0990740650403843,0.0968517477595123,0.3278881629991207,0.0432762989894431,0.1282773457577166,1.0,0.0001079228890957,classification,RandomForest
167548,23,23,3,0.0056688061617458,1.0,2,1.5241717064728246,79.7831942314352,0.2126450256970576,0.9621833641193236,0.2486993665205646,0.4777636149855405,0.3664957288333443,0.5846633978147993,0.6,0.0001372740945878,classification,RandomForest
115654,43,43,18,7.1209637796513565,1.0,2,7.144174380475942,1355.3541418728537,0.0503285797083475,1.0000000000000002,0.0994612142770932,0.6586831932082237,0.0445239527200901,0.4538796957806783,0.813953488372093,0.0003717986407733,classification,LogisticRegression
183230,1,1,1,0.0,1.0,2,0.0,-2.0000218308437074,0.0,0.0,1.0,1.0,0.7161365018211855,0.7161365018211855,0.0,5.457621568520439e-06,classification,LogisticRegression
128150,18,18,1,0.5892774772508073,1.0,2,1.892568328625919,114.30058910174756,0.0575255710985587,0.9145537106821978,0.1347052727281449,0.9748918804354926,0.2166427065059264,0.6806522811788018,0.8333333333333334,0.0001404603979711,classification,RandomForest
331748,30,30,0,0.0,1.0,2,0.0497750250020319,3.651339175700406,0.124231862617867,0.7940944852739303,0.1951014554188927,0.514595694393071,0.1173308018782599,0.4860953851933498,0.7,9.043008548657416e-05,classification,RandomForest
32532,49,49,0,0.0,1.0,2,0.2241349083151356,9.453808143136875,0.040213458688258,0.917002308553314,0.0716521777690592,0.3496437568472743,0.0124429306862808,0.0731478798665747,0.7755102040816326,0.0015062092708717,classification,GradientBoosting
32532,49,49,0,0.0,1.0,2,0.2241349083151356,9.453808143136875,0.040213458688258,0.917002308553314,0.0716521777690592,0.3496437568472743,0.012558386605168,0.0733703295397516,0.7755102040816326,0.0015062092708717,classification,GradientBoosting
32532,49,49,0,0.0,1.0,2,0.2241349083151356,9.453808143136875,0.040213458688258,0.917002308553314,0.0716521777690592,0.3496437568472743,0.0125116018377596,0.0732609250831031,0.7755102040816326,0.0015062092708717,classification,GradientBoosting
22476,7,7,0,0.0,1.0,2,0.1520442530987507,-0.21108404485433,0.2576067014123214,0.6436837441965083,0.1774222906930476,0.4306650701504769,0.072218586652576,0.1881659319174971,0.8571428571428571,0.0003114433173162,classification,RandomForest
235278,18,18,1,0.0,1.584962500721156,3,15.070411169882952,4012.703137077881,0.1388320195255754,0.7351617065577719,0.2044321654798696,0.6614260887702914,0.1966192445531844,0.9535949224513004,0.9090909090909092,7.650524060898171e-05,classification,RandomForest
66468,28,28,0,0.0003165169072781,1.0,2,0.8051546381152032,2.0742451280664924,0.0579484455261399,0.8157063245727366,0.028938872605366,0.1257193516604487,0.0084899128695457,0.0440048355838844,0.8571428571428571,0.0004212553409159,classification,GradientBoosting
22122,3,3,4,0.0,1.0,2,-0.8419868035012392,0.6276401504451554,0.0267919891015779,0.0376690253848906,0.266128052719078,0.4833829982992833,0.3708446515619486,0.4118827472132356,1.0,0.0001356116083536,classification,KNN
13878,16,16,6,6.336237251884504,1.584962500721156,3,3.5529240205992765,221.9661279769736,0.0506430919681089,0.6697620852428736,0.1047687944267622,0.4056003826837224,0.0451016997834924,0.1952846108108099,0.875,0.0011529038766392,classification,GradientBoosting
25422,23,23,0,0.0,1.0,2,3.4848199870739505,47.95763108932877,0.1912735245094618,0.9293962313615856,0.077352299535257,0.2093304975198515,0.0664580375347192,0.3453945339126643,0.6956521739130435,0.0009047281881834,classification,GradientBoosting
2187,18,18,5,3.0658909484508188,1.584962500721156,3,1.6704078115396064,15.77193441804323,0.1390534913588805,0.4999829250307129,0.2275074276013645,0.7575755700602422,0.2545062143823975,0.7771648306537211,0.8888888888888888,0.0082304526748971,classification,GradientBoosting
492,15,15,5,0.0,1.0,2,0.635553505,0.937146282,0.163781531,0.906903357,0.3014467,0.631591218,0.075697228,0.225168877,0.857142857,0.030487805,classification,KNN
37192,22,22,9,0.0,1.0,2,1.220166836,3.284322401,0.078131602,0.816444947,0.0,0.0,0.123659514,0.513811266,0.882352941,0.000591525,classification,RandomForest
968,11,11,3,3.711538462,1.0,2,0.028688259,-0.003230533,0.472843921,0.855418057,0.618029126,1.0,0.429665625,0.693663976,0.727272727,0.011363636,classification,LogisticRegression
6672,35,35,0,0.0,2.584962501,6,-0.020045156,-0.540215489,0.4974358,0.956453506,0.392558132,0.682869795,0.742224796,0.917841466,0.2,0.005245803,classification,RandomForest
