n_instances,n_features,n_num_features,n_cat_features,missing_values_pct,mean_skewness,mean_kurtosis,avg_correlation,max_correlation,mean_corr_with_target,max_corr_with_target,pca_fraction_95,var_mean,var_std,mean_feature_entropy,feature_to_instance_ratio,task_type,best_model
21016,21,21,0,0.0,0.1171591144881336,0.6277886765165421,8.67187542716974e-16,9.240080598029241e-15,0.0450375211315779,0.1311836706449184,0.9523809523809524,3.7550778688293447e-32,1.8404551515474887,1.6189074691466236,0.000999238675295,regression,RandomForest
5734,8,8,0,0.0,0.0005754523688039,-1.1926750371930028,0.010039015652383,0.0325139589861462,0.0110154285912158,0.0206512572873026,1.0,5.980913406979059e-34,7.043400939473319e-33,2.3019659505009384,0.0013951866062085,regression,SVR
4030,21,21,0,0.0,7.142729569842208,193.99256747206508,0.1681115554335202,0.9302392049868942,0.2175196813309199,0.7264974011335938,0.6666666666666666,2.7856608142410306e-33,1.9721522630525296e-32,0.7948330158260807,0.0052109181141439,regression,GradientBoosting
4882,6,6,0,0.0,0.0225285774376148,-0.3069797535455287,0.1562202251021267,0.4876716826847543,0.3486920022492393,0.6834849651816898,1.0,32.17540717516763,93.54462960657447,1.976787540202844,0.0012290045063498,regression,PolynomialRegression
28537,10,10,0,0.0,-0.003522890115251,-1.5492404405621245,0.005755451377212,0.0170028212162269,0.0064028363185929,0.0165201431929573,1.0,1.575873455709494e-05,0.0033787131712054,1.058037017162815,0.0003504222588218,regression,PolynomialRegression
9362,14,14,0,0.0,-0.6030808691355529,5.826383723920496,0.1418880525562127,0.8472606831003408,0.1381147922223468,0.4788613467947613,0.75,8.764501582029324,1.0185057185110429,1.5058776560749405,0.0014954069643238,regression,PolynomialRegression
9875,8,8,0,0.0,0.920228525657443,1.813375794761186,0.1255603452067184,0.4006002036623607,0.249546905318184,0.4297738311893263,1.0,4.699673279566067e-32,4.2260405636839916e-32,1.735400876040115,0.0008101265822784,regression,RandomForest
5734,8,8,0,0.0,-0.0035324351776436,-1.1867974213074608,0.006900127558434,0.0183861730548637,0.0112592424056128,0.0316951854406103,1.0,5.6852336156664365e-34,7.043400939473319e-33,2.3018124746731075,0.0013951866062085,regression,RandomForest
4223,12,12,0,0.0,3.650662614993125,64.73810805220604,0.2364468760162644,0.8188554897235664,0.4482528993041484,0.6874163222109595,0.8333333333333334,5.8728701047883124e-33,4.0339478107892646e-32,1.087452183769894,0.0028415818138763,regression,KNN
7567,26,26,0,0.0,-7.4976843488845555,588.7351902846987,0.0985835063951193,0.9282236555813852,0.1476523303765357,0.7347129083648325,0.7619047619047619,0.0154338473041575,0.2571225668944226,1.0408156947521112,0.003435971983613,regression,Ridge
5734,32,32,0,0.0,-0.0017369369172346,-1.1960931340458272,0.0103555492811892,0.0391687360105155,0.0128372548591729,0.0396734238676687,0.96875,1.4968042793876607e-32,4.771336120288378e-33,2.301873559506359,0.0055807464248343,regression,GradientBoosting
618,37,37,1,15.35935932798395,0.0969400631765513,0.6275632670386189,1.569752243980049e-16,1.4613981261667976e-15,0.1229151162675512,0.548543479393941,0.972972972972973,3.24331374989952e-33,0.713642823938054,1.8163936159836185,0.0598705501618122,regression,KNN
28537,11,11,3,0.0,0.3353820714087023,-0.6309633539491507,0.0531050515901283,0.7489195922569208,0.0046379331990854,0.0144016228865605,0.8181818181818182,0.0555822525431724,0.0881051353439152,1.5978856604281773,0.000385464484704,regression,RandomForest
996,30,30,0,0.0,0.2277101595472257,1.2840947274707726,1.3756640417623367e-16,1.2052995575193637e-15,0.0954478470661065,0.3632969754800985,0.9666666666666668,5.4043442438329015e-33,1.0625824257219416,1.7378703600263383,0.0301204819277108,regression,GradientBoosting
113088,18,18,4,0.0,1.2617421411340648,1.8936228643194009,0.0586920760444937,0.598969449959367,0.045952290846891,0.4191788011217202,0.8333333333333334,10.21657843488302,1.6401371621592635,0.8341512772410482,0.000159168081494,regression,GradientBoosting
2508,26,26,0,0.0,1.5200507381695,30.53198777982387,1.711948766548121e-16,1.4724265388590754e-15,0.038425327396798,0.1654625680411765,0.9615384615384616,1.745328842307888e-33,0.9370358774094396,1.1855827095559426,0.0103668261562998,regression,SVR
12768,20,20,0,0.0,2.882722627105877,89.51316939546864,0.1727967918767546,0.8359143017588148,0.2205045171725876,0.5902174714218521,0.7894736842105263,3.766592113051255,0.0283800219361475,1.3586326099372374,0.0015664160401002,regression,GradientBoosting
90831,2,2,10,6.7840261844953815,0.479096472422322,-0.42810739919296,2.2040897682687165e-15,2.2040897682687165e-15,0.1218455746545232,0.2333173909909024,1.0,1.372091907560501e-26,659087.2596314216,1.6814417642293762,2.2018914247338464e-05,regression,RandomForest
68302,25,25,6,0.0,1.984063803074476,41.49176987614842,0.0453943999662507,0.613698362008587,0.0922143081770942,0.9865256083912514,0.9,199177.4450839217,1.755975728496064,1.125581670348746,0.000366021492782,regression,ElasticNet
3312,35,35,0,49.81395513408975,4.199938744443696,80.6122822818834,0.2072628458195203,0.945124178198214,0.2073876124213874,0.5228370084588515,0.6285714285714286,3.5828544494572,0.9062872770625054,0.809634976873232,0.0105676328502415,regression,GradientBoosting
3267,36,36,0,49.2450143605817,3.968159975211085,60.0165043777739,0.1949533574562129,0.9315353233100786,0.1368336631337675,0.3649994727344238,0.6111111111111112,2.5566865029626644,0.5074866283780415,0.861471729214068,0.0110192837465564,regression,GradientBoosting
209293,47,47,10,0.0,16.865743383399007,1353.7864757782831,0.0530832609737528,0.8475239846550724,0.0141390320720831,0.0556847934252616,0.851063829787234,1.4660815432210983,0.1661208255446211,0.7884790358992233,0.0002245655611988,regression,GradientBoosting
68323,2,2,4,0.0,-0.5801535814499612,-0.4913951699046746,0.41705488190226,0.41705488190226,0.7085274409511324,1.0,1.0,0.3115048246273623,0.1753536301033267,1.207432351584758,2.9272719289258377e-05,regression,Ridge
101405,22,22,6,0.0,0.5594162890770579,3.4798879858836,0.1101696868077622,0.7938329193615397,0.2351409179456176,0.9188677322506762,0.875,1.048125070645183e-31,1.4086801878946639e-32,1.562926876578152,0.0002169518268329,regression,RandomForest
17523,8,8,4,0.0,0.3809382890372475,1.1507416423284689,0.0838876371152983,0.3602384197864298,0.1485910730672678,0.309548845272219,0.875,21.26968192540789,0.5481485044434093,0.8711501983944052,0.0004565428294241,regression,GradientBoosting
